Year,Long,Lat,lance,talla,sexo, Ppro,frec,Pjuv, temp, sali, oxigen
1997,-71.7365,-30.3695,9,31,1,317,6,1,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,32,1,317,4,1,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,33,1,317,6,1,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,34,1,317,4,1,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,35,1,317,2,0,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,36,1,317,4,0,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,37,1,317,5,0,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,38,1,317,7,0,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,39,1,317,8,0,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,40,1,317,9,0,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,41,1,317,11,0,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,43,1,317,3,0,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,44,1,317,1,0,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,45,1,317,2,0,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,46,1,317,2,0,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,47,1,317,1,0,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,30,2,317,1,1,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,31,2,317,2,1,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,32,2,317,4,1,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,33,2,317,11,1,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,34,2,317,8,1,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,35,2,317,5,0,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,36,2,317,2,0,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,37,2,317,2,0,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,38,2,317,3,0,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,39,2,317,1,0,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,40,2,317,4,0,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,41,2,317,2,0,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,42,2,317,5,0,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,47,2,317,1,0,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,48,2,317,1,0,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,51,2,317,1,0,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,55,2,317,1,0,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,58,2,317,2,0,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,31,1,317,1,1,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,32,1,317,5,1,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,33,1,317,2,1,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,34,1,317,3,1,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,35,1,317,3,0,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,36,1,317,2,0,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,38,1,317,7,0,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,40,1,317,3,0,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,41,1,317,2,0,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,42,1,317,2,0,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,43,1,317,2,0,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,45,1,317,1,0,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,48,1,317,2,0,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,31,2,317,1,1,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,32,2,317,2,1,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,33,2,317,7,1,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,34,2,317,2,1,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,35,2,317,5,0,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,36,2,317,4,0,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,37,2,317,1,0,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,38,2,317,1,0,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,39,2,317,2,0,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,40,2,317,2,0,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,41,2,317,1,0,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,42,2,317,2,0,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,43,2,317,2,0,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,44,2,317,2,0,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,45,2,317,1,0,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,47,2,317,2,0,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,58,2,317,1,0,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,30,1,317,1,1,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,31,1,317,1,1,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,32,1,317,2,1,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,33,1,317,2,1,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,34,1,317,3,1,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,35,1,317,4,0,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,36,1,317,1,0,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,37,1,317,1,0,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,38,1,317,1,0,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,39,1,317,3,0,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,40,1,317,2,0,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,41,1,317,4,0,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,43,1,317,2,0,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,44,1,317,2,0,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,32,2,317,1,1,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,33,2,317,8,1,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,34,2,317,5,1,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,35,2,317,5,0,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,36,2,317,3,0,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,37,2,317,1,0,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,40,2,317,1,0,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,41,2,317,1,0,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,43,2,317,2,0,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,44,2,317,1,0,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,45,2,317,1,0,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,46,2,317,1,0,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,47,2,317,1,0,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,49,2,317,1,0,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,58,2,317,1,0,10.85,34.661,0.43
1997,-71.7365,-30.3695,9,61,2,317,1,0,10.85,34.661,0.43
1997,-71.7735,-30.567,10,31,1,295,4,1,11.24,34.693,0.317
1997,-71.7735,-30.567,10,32,1,295,10,1,11.24,34.693,0.317
1997,-71.7735,-30.567,10,33,1,295,9,1,11.24,34.693,0.317
1997,-71.7735,-30.567,10,34,1,295,6,1,11.24,34.693,0.317
1997,-71.7735,-30.567,10,35,1,295,6,0,11.24,34.693,0.317
1997,-71.7735,-30.567,10,36,1,295,3,0,11.24,34.693,0.317
1997,-71.7735,-30.567,10,40,1,295,3,0,11.24,34.693,0.317
1997,-71.7735,-30.567,10,41,1,295,1,0,11.24,34.693,0.317
1997,-71.7735,-30.567,10,43,1,295,1,0,11.24,34.693,0.317
1997,-71.7735,-30.567,10,44,1,295,1,0,11.24,34.693,0.317
