Order,Long,Lat
28379,-71.495452,-29.000135
28378,-71.495452,-29
28377,NA,NA
28376,-71.356109,-29.927428
28375,-71.356109,-29.926842
28374,-71.355815,-29.926255
28373,-71.354935,-29.926255
28372,-71.353762,-29.927428
28371,-71.353762,-29.929188
28370,-71.354055,-29.929482
28369,-71.354935,-29.929482
28368,-71.355522,-29.929188
28367,-71.355522,-29.928308
28366,-71.356109,-29.927428
28365,NA,NA
28364,-71.475504,-29.109263
28363,-71.475504,-29.107503
28362,-71.474917,-29.107209
28361,-71.47257,-29.107209
28360,-71.471984,-29.107503
28359,-71.471984,-29.108383
28358,-71.473451,-29.109556
28357,-71.474917,-29.109556
28356,-71.475504,-29.109263
28355,NA,NA
28354,-71.505426,-29.02595
28353,-71.505426,-29.02419
28352,-71.505133,-29.023603
28351,-71.504253,-29.023897
28350,-71.503079,-29.02507
28349,-71.503079,-29.02683
28348,-71.503373,-29.027124
28347,-71.504253,-29.027124
28346,-71.505426,-29.02595
28345,NA,NA
28344,-71.511293,-29.183482
28343,-71.510413,-29.182601
28342,-71.510413,-29.181721
28341,-71.51012,-29.181135
28340,-71.50836,-29.181135
28339,-71.508066,-29.181721
28338,-71.508066,-29.184068
28337,-71.50836,-29.184655
28336,-71.51012,-29.184655
28335,-71.511293,-29.183482
28334,NA,NA
28333,-71.342908,-29.544894
28332,-71.342908,-29.544307
28331,-71.341441,-29.542547
28330,-71.342908,-29.540787
28329,-71.342614,-29.540494
28328,-71.341734,-29.540494
28327,-71.339094,-29.537854
28326,-71.336747,-29.537854
28325,-71.335867,-29.538734
28324,-71.334987,-29.538734
28323,-71.334694,-29.53932
28322,-71.334694,-29.539907
28321,-71.335574,-29.540787
28320,-71.335574,-29.543427
28319,-71.336747,-29.544601
28318,-71.340854,-29.544601
28317,-71.341734,-29.545481
28316,-71.342614,-29.545481
28315,-71.342908,-29.544894
28314,NA,NA
28313,-71.51892,-29.358321
28312,-71.51892,-29.356561
28311,-71.518334,-29.356267
28310,-71.515987,-29.356267
28309,-71.51452,-29.357441
28308,-71.515987,-29.358614
28307,-71.518334,-29.358907
28306,-71.51892,-29.358321
28305,NA,NA
28304,-71.339681,-29.778404
28303,-71.339681,-29.777524
28302,-71.338214,-29.776351
28301,-71.336747,-29.776351
28300,-71.336161,-29.776644
28299,-71.336161,-29.777524
28298,-71.336747,-29.777818
28297,-71.337627,-29.777818
28296,-71.338508,-29.778698
28295,-71.339094,-29.778698
28294,-71.339681,-29.778404
28293,NA,NA
28292,-71.494572,-29.268261
28291,-71.494572,-29.266794
28290,-71.494279,-29.266207
28289,-71.492519,-29.266207
28288,-71.492225,-29.266794
28287,-71.492225,-29.267381
28286,-71.493399,-29.268848
28285,-71.494279,-29.268848
28284,-71.494572,-29.268261
28283,NA,NA
28282,-71.357869,-29.919214
28281,-71.357869,-29.918334
28280,-71.357576,-29.918041
28279,-71.355815,-29.918041
28278,-71.355522,-29.918334
28277,-71.355522,-29.919214
28276,-71.355815,-29.919508
28275,-71.357576,-29.919508
28274,-71.357869,-29.919214
28273,NA,NA
28272,-71.519507,-29.241859
28271,-71.519507,-29.240099
28270,-71.519214,-29.239512
28269,-71.518334,-29.239512
28268,-71.51716,-29.240979
28267,-71.51716,-29.241566
28266,-71.517454,-29.242152
28265,-71.519214,-29.242152
28264,-71.519507,-29.241859
28263,NA,NA
28262,-71.537108,-29.225725
28261,-71.536815,-29.225431
28260,-71.535055,-29.225431
28259,-71.534762,-29.225725
28258,-71.534468,-29.226605
28257,-71.535055,-29.227191
28256,-71.535935,-29.227191
28255,-71.537108,-29.225725
28254,NA,NA
28253,-71.55295,-29.281755
28252,-71.55295,-29.278235
28251,-71.55207,-29.277648
28250,-71.55207,-29.275888
28249,-71.551189,-29.275008
28248,-71.551189,-29.274128
28247,-71.550309,-29.273248
28246,-71.550309,-29.271781
28245,-71.549723,-29.270901
28244,-71.549429,-29.270021
28243,-71.548843,-29.269141
28242,-71.548843,-29.267381
28241,-71.547963,-29.266794
28240,-71.547963,-29.265034
28239,-71.547083,-29.264154
28238,-71.547083,-29.263274
28237,-71.546202,-29.262394
28236,-71.546202,-29.260927
28235,-71.548843,-29.258287
28234,-71.548843,-29.25418
28233,-71.547963,-29.2533
28232,-71.547963,-29.25242
28231,-71.547083,-29.25154
28230,-71.547083,-29.250953
28229,-71.544149,-29.24802
28228,-71.543269,-29.24802
28227,-71.542389,-29.247139
28226,-71.541802,-29.247139
28225,-71.540922,-29.246259
28224,-71.536815,-29.246259
28223,-71.534468,-29.248313
28222,-71.534468,-29.25418
28221,-71.535348,-29.25506
28220,-71.535348,-29.25594
28219,-71.540335,-29.260927
28218,-71.539749,-29.261807
28217,-71.539455,-29.262394
28216,-71.537989,-29.264154
28215,-71.537989,-29.267381
28214,-71.539749,-29.269141
28213,-71.539455,-29.270021
28212,-71.541215,-29.271781
28211,-71.541215,-29.275008
28210,-71.540335,-29.275888
28209,-71.540335,-29.279995
28208,-71.542682,-29.282049
28207,-71.545029,-29.282049
28206,-71.546789,-29.283809
28205,-71.550896,-29.283809
28204,-71.55295,-29.281755
28203,NA,NA
28202,-71.505426,-29.030057
28201,-71.505426,-29.029177
28200,-71.505133,-29.028884
28199,-71.502493,-29.028884
28198,-71.502199,-29.029177
28197,-71.502199,-29.030937
28196,-71.503373,-29.032111
28195,-71.504253,-29.032111
28194,-71.504546,-29.031817
28193,-71.504546,-29.030937
